서울호텔,영등포동
,37.5174882,126.9072667
베네치아호텔,역삼1동
,37.5062136,127.0340889
벨라지오호텔,불광1동
,37.6094647,126.9320278
삼호관광호텔,창신1동
,37.5701229,127.0155277
소피아/관광호텔,쌍문3동
,37.6510466,127.0356926
서호호텔,서초4동
,37.5018191,127.0242766
시네마호텔,청룡동
,37.4806559,126.9506135
스타호텔,역삼1동
,37.4995095,127.0354225
썬비호텔,종로1.2.3.4가동
,37.573031,126.984748
신라호텔/영빈관,장충동
,37.556481,127.0061615
시네마호텔,동선동
,37.593449,127.016937
아르고호텔,길동
,37.53608,127.136843
아이엠아이호텔,역삼2동
,37.5010455,127.0397366
아카데미/하우스호텔,인수동
,37.6400262,127.0002986
엘르인호텔,남영동
,37.54031,126.972176
아마레호텔,역삼2동
,37.4946359,127.040202
엠비즈호텔,삼성2동
,37.5075145,127.0550566
엠호텔,대흥동
,37.552784,126.936302
더리버사이드/호텔,잠원동
,37.5185692,127.0181336
그린그래스/호텔,삼성2동
,37.5057935,127.0501031
남경,합정동
,37.5489802,126.9104766
프리마호텔,청담동
,37.5242756,127.052191
호텔리베라,청담동
,37.5238168,127.0542475
캐피탈호텔,서빙고동
,37.5285675,126.9929969
코리아나호텔,명동
,37.5681809,126.9765031
퍼시픽호텔,명동
,37.5598529,126.9853305
호텔/프레지던트,명동
,37.565622,126.979443
호텔피제이,광희동
,37.564768,126.9955765
톰지모텔,방이2동
,37.5155503,127.1095668
톰지호텔,종로1.2.3.4가동
,37.5723667,126.9893897
티이티이,삼성1동
,37.5106191,127.0578192
티파니,발산1동
,37.5478954,126.820041
프린세스호텔,압구정동
,37.5273462,127.0366316
레인보우호텔,남영동
,37.5414013,126.9721282
렉스관광호텔,논현1동
,37.5143298,127.0205187
렉시호텔,역삼1동
,37.4988,127.034
로얄호텔/서울로얄호텔점,명동
,37.5641741,126.9856077
리츠호텔,상계6.7동
,37.654798,127.0577162
메이관광호텔,상봉2동
,37.596089,127.089985
메이저호텔,대치4동
,37.505116,127.0542301
바비엥스위트원,소공동
,37.5642792,126.9684725
발리호텔,삼성2동
,37.5061824,127.0515474
여관머니,방이2동
,37.5158212,127.1109302
영빈호텔사우나,광희동
,37.5629802,127.0054947
올림픽파크텔,오륜동
,37.522257,127.1165876
유양호텔,서교동
,37.5535332,126.9168317
유원호텔,서초3동
,37.485219,127.01284
이사벨호텔,서초3동
,37.4860904,127.0129779
자이언트호텔,삼성2동
,37.5123205,127.0497696
준희빈호텔,합정동
,37.5481734,126.9110987
호텔티파니,청담동
,37.5213727,127.0568683
CF호텔,방이2동
,37.5161545,127.1124856
노스탈자호텔,화곡6동
,37.5547926,126.8526195
뉴오리엔탈/호텔,회현동
,37.5605402,126.9838324
칼튼호텔,화곡6동
,37.5545063,126.8524544
코리아/관광호텔,성내2동
,37.5341804,127.1335664
코리아호텔,삼전동
,37.5006,127.087461
코보스호텔,여의동
,37.5301595,126.9206134
테마호텔,화곡본동
,37.5411188,126.841428
테마호텔,상봉2동
,37.596839,127.08918
토요코인,광희동
,37.564619,127.009078
플라워호텔,청량리동
,37.5848758,127.0505195
쉐라톤그랜드/워커힐,광장동
,37.555178,127.110735
롯데시티호텔/마포,아현동
,37.544691,126.950552
핀호텔,군자동
,37.5503587,127.0689283
호텔G,논현1동
,37.51282,127.0263
호텔라까사,신사동
,37.5221501,127.0195533
호텔마인드,가산동
,37.4788495,126.8909527
호텔엘&에스,망우본동
,37.597908,127.093718
젤리호텔,역삼1동
,37.4999211,127.0318528
CF호텔,역삼2동
,37.5012302,127.0422585
호텔케이피,휘경1동
,37.5895448,127.056816
갤러리호텔,녹번동
,37.6027341,126.9257245
서울파트너스/하우스,한남동
,37.5406773,127.0048565
세림호텔,종로1.2.3.4가동
,37.5733674,126.9846354
뉴부림호텔,전농1동
,37.579457,127.0448996
JW메리어트/호텔서울,반포4동
,37.503704,127.0047
MEASEOUL,여의동
,37.521231,126.918306
W워커힐,광장동
,37.554354,127.110848
빅토리아호텔,송중동
,37.6106397,127.0308369
그랜드앰배서더/호텔서울,장충동
,37.560381,127.002442
그랜드인터컨티넨탈/서울파르나스,삼성1동
,37.508858,127.060769
그랜드하얏트/서울,한남동
,37.539294,126.997108
그랜드힐튼/호텔서울,홍은2동
,37.588819,126.93403
노보텔/앰배서더강남,역삼1동
,37.505258,127.028829
롯데시티호텔/김포공항,방화2동
,37.5636432,126.8038755
라마다/서울호텔,삼성2동
,37.5103398,127.0452919
롯데호텔,명동
,37.5653,126.980979
롯데호텔/롯데월드,잠실3동
,37.511534,127.099981
레이크호텔,석촌동
,37.50683,127.100985
르네상스/서울호텔,역삼1동
,37.5025561,127.0420019
메이필드호텔,발산1동
,37.5470897,126.8191244
밀레니엄서울/힐튼호텔,회현동
,37.5554221,126.9754394
반얀트리클럽/&스파서울,장충동
,37.5505089,127.000642
서울/팔레스호텔,반포4동
,37.5009257,127.0017941
쉐라톤서울/디큐브시티호텔,신도림동
,37.5088669,126.8900053
신라호텔,장충동
,37.5558309,127.0053328
엘루이호텔,청담동
,37.525516,127.053505
웨스틴조선호텔/서울,소공동
,37.564369,126.980058
뉴힐탑관광호텔,논현1동
,37.511326,127.03196
인터컨티넨탈/서울코엑스,삼성1동
,37.5128662,127.0572702
세종호텔,명동
,37.5613559,126.9879652
임피리얼/팰리스호텔,논현2동
,37.5140279,127.0359127
스탠포드/호텔서울,상암동
,37.5822056,126.8868971
콘래드서울,여의동
,37.5254326,126.9266246
해밀톤호텔,이태원1동
,37.5348278,126.9936841
파크하얏트/서울호텔,대치2동
,37.50852,127.064135
플라자호텔,소공동
,37.5646462,126.9780807
호텔리츠/칼튼서울,역삼1동
,37.5048465,127.0271418
노보텔/앰배서더독산,독산4동
,37.4674344,126.8984245
고궁호텔,종로1.2.3.4가동
,37.5757113,126.996793
라마다호텔/앤스위트,소공동
,37.5604799,126.9718592
렉싱턴호텔,여의동
,37.530201,126.921924
아스토리아/호텔,필동
,37.5608086,126.9912585
베스트웨스턴/강남호텔,논현1동
,37.50634,127.029774
베스트웨스턴호텔/나이아가라,염창동
,37.5492115,126.8786305
서울가든호텔,도화동
,37.5407089,126.9484512
뉴리젠트호텔,화곡6동
,37.5541923,126.8517981
홀리데이인/성북서울호텔,종암동
,37.600968,127.033217
아카시아호텔,을지로동
,37.5664456,127.0026955
경남관광호텔,장안2동
,37.570126,127.0709987
노블레스/관광호텔,상계6.7동
,37.6552237,127.0593635
리버파크/관광호텔,염창동
,37.5485623,126.8781861
메트로호텔,명동
,37.565127,126.983688
사보이호텔,명동
,37.5617577,126.9842191
라뉘호텔,대흥동
,37.5534246,126.9361129
라미르호텔,역삼1동
,37.5066578,127.0400774
삼정관광호텔,역삼1동
,37.5058105,127.0311572
서울렉스호텔,회현동
,37.5586469,126.9809139
앰버서더,대치4동
,37.5050742,127.0570338
여의도/관광호텔,여의동
,37.5302281,126.9252587
영동관광호텔,논현1동
,37.5177083,127.0247163
캘리포니아/관광호텔,가락본동
,37.4940697,127.1191669
크라운/관광호텔,이태원1동
,37.531396,126.990813
크라운관광호텔,종로1.2.3.4가동
,37.5739484,126.9881808
트리아/관광호텔,역삼1동
,37.5028748,127.0394336
팝그린/관광호텔,압구정동
,37.5274572,127.0295767
프린스호텔,명동
,37.5606746,126.9862685
한강호텔,광장동
,37.5479006,127.1096517
호텔그린월드,등촌2동
,37.5513957,126.8633145
바빌론호텔,잠원동
,37.5150696,127.0170227
브라운/관광호텔,보문동
,37.582291,127.021276
비원관광호텔,종로1.2.3.4가동
,37.575562,126.998273
잠실관광호텔,잠실본동
,37.50485,127.088099
프랜드호텔,서초1동
,37.4867642,127.021738
호텔R,영등포동
,37.5171871,126.9120591
호텔도도,영등포동
,37.5207059,126.9121434
호텔에어포트,공항동
,37.5613975,126.8142964
JJ호텔,용답동
,37.56137,127.060823
The-K서울호텔/(구 더케이서울호텔),양재2동
,37.466097,127.0328345
가야관광호텔,남영동
,37.5408018,126.9723084
노블레스,역삼1동
,37.5013577,127.0357776
녹스호텔,역삼1동
,37.502734,127.0397508
뉴천지/관광호텔,을지로동
,37.5658643,127.0033201
라바호텔,서초3동
,37.4864587,127.0136029
라자호텔,방이2동
,37.515367,127.108224